,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3466,Italy,2.0,55.0,40.0,1.0,1.0,4.0,1.0,5.0,4.0,2.0,1.0,0.0,1.0,1.0,-1.0,2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,2.0,-2.0,2.0,1,2.0,-2.0,-2.0
3467,Italy,1.0,61.0,38.0,1.0,1.0,4.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,-2.0,2.0,2.0,2.0,-2.0,1.0,1.0,1.0,0.0,3,3.0,-2.0,3.0,3,3.0,-3.0,-2.0
3468,Italy,2.0,62.0,29.0,1.0,1.0,4.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,-3.0,3.0,2,2.0,-3.0,-2.0
3469,Italy,1.0,32.0,5.0,2.0,2.0,5.0,0.0,7.0,7.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,3.0,-2.0,2.0,-3,3.0,-2.0,-3.0
3470,Italy,1.0,66.0,42.0,3.0,1.0,3.0,0.0,10.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3,2.0,3.0,3.0,3,3.0,3.0,3.0
3471,Italy,2.0,34.0,13.0,1.0,1.0,5.0,0.0,10.0,4.0,-3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,2.0,-2.0,1.0,2,2.0,1.0,-2.0
3472,Italy,1.0,60.0,32.0,2.0,2.0,5.0,1.0,,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3,3.0,1.0,1.0,3,3.0,1.0,2.0
3473,Italy,2.0,54.0,32.0,2.0,2.0,5.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,3.0,-2.0,2.0,3,3.0,-1.0,1.0
3474,Kazakhstan,2.0,38.0,13.0,2.0,2.0,3.0,0.0,1.0,5.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,2.0,3.0,2.0,2,3.0,3.0,2.0
3475,Kazakhstan,2.0,35.0,12.0,2.0,2.0,5.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0
3476,Kazakhstan,2.0,41.0,14.0,1.0,1.0,5.0,0.0,2.0,4.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,3.0,-2.0,1.0,2,3.0,3.0,3.0
3477,Kazakhstan,2.0,36.0,7.0,2.0,2.0,5.0,0.0,2.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2,3.0,2.0,3.0,3,3.0,2.0,3.0
