,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3052,Iran ,Female,50.0,25.0,2.0,2.0,Secondary school,Average,Muslim,Moderately,Disagree slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Agree somewhat,Strongly agree,Agree slightly,Disagree slightly,Strongly agree,Strongly agree,Agree slightly,Agree somewhat
3053,Iran ,Male,46.0,16.0,2.0,2.0,High school or technical school,Better than average,Muslim,Somewhat religious,Agree slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree slightly,Strongly agree,Agree somewhat,Strongly agree,Agree slightly,Agree somewhat
3054,Iran ,Male,59.0,33.0,2.0,0.0,Secondary school,Worse than average,Muslim,Extremely,Disagree strongly,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Neither yes or no,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree slightly,Agree somewhat,Agree somewhat,Strongly agree,Agree slightly,Agree somewhat
3055,Iran ,Female,34.0,16.0,2.0,2.0,Secondary school,Average,Muslim,Slightly irreligious,Disagree somewhat,No,No,No,No,No,Rather no,No,No,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Agree slightly,Agree somewhat
3056,Iran ,Female,47.0,4.0,2.0,2.0,High school or technical school,Average,Muslim,Slightly religious,Strongly agree,Neither yes or no,Rather yes,Neither yes or no,Rather yes,No,Rather yes,Neither yes or no,No,Rather no,Slightly Dissatisfied,Slightly Dissatisfied,Somewhat Dissatisfied,Agree somewhat,Strongly agree,Agree somewhat,Agree somewhat,Agree slightly,Strongly agree,Agree slightly,Agree somewhat
3057,Iran ,Female,36.0,17.0,1.0,1.0,High school or technical school,Worse than average,Muslim,Somewhat religious,Agree slightly,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Neither yes or no,Rather yes,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Strongly agree,Agree somewhat,Agree slightly,Agree somewhat
3058,Iran ,Male,29.0,6.0,0.0,1.0,Secondary school,Worse than average,Muslim,Somewhat religious,Disagree somewhat,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Neither yes or no,Rather yes,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Agree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Strongly agree,Agree somewhat,Agree slightly,Agree somewhat
3059,Iran ,Male,31.0,8.0,1.0,1.0,Secondary school,Better than average,Muslim,Slightly irreligious,Agree slightly,Neither yes or no,Rather no,Neither yes or no,Neither yes or no,Rather yes,Rather yes,Rather yes,Neither yes or no,Neither yes or no,Somewhat Satisfied,Neutral,Slightly Satisfied,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Agree somewhat,Agree somewhat,Agree slightly,Agree somewhat
3060,Iran ,Male,36.0,10.0,1.0,1.0,High school or technical school,Average,Muslim,Moderately,Disagree somewhat,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Slightly Satisfied,Agree slightly,Agree somewhat,Disagree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree slightly,Agree somewhat
3061,Iran ,Male,55.0,30.0,3.0,3.0,Bachelors or Masters degree,Much better than average,Muslim,Slightly irreligious,Agree somewhat,Yes,Rather yes,Yes,Yes,Yes,Rather yes,Yes,Yes,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat
