,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
50,Brazil ,2,38,7,1,1,5,1,Muslim,3,-2,2,0,2,2,2,2,2,1,2,1,1,1,1,3,1,-1,1,2,0,-1
51,Brazil ,1,24,6,0,0,5,1,None,2,0,2,2,2,2,2,2,2,2,2,3,3,3,1,1,0,2,3,3,2,3
52,Brazil ,2,35,7,0,0,5,1,None,1,-3,2,1,1,2,2,2,2,2,2,3,3,2,-1,1,-2,2,3,3,2,3
53,Brazil ,2,27,3,0,0,5,1,None,1,0,2,2,2,1,2,2,2,2,2,3,3,3,2,3,-2,1,3,3,2,3
54,Brazil ,1,23,1,0,0,4,0,None,2,1,2,0,2,2,2,2,2,1,2,3,3,3,-3,3,-3,-2,3,3,1,3
55,Brazil ,1,60,36,3,0,5,2,None,1,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,0,3
56,Brazil ,2,29,2,0,0,5,1,None,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,-2,2,2,3,-3,3
57,Brazil ,2,31,8,0,0,5,1,None,1,-1,2,-1,2,2,2,2,2,2,2,0,0,0,-1,3,-3,2,2,2,-3,3
58,Brazil ,2,57,2,3,0,5,0,None,1,-2,2,1,2,2,2,2,2,2,1,2,3,2,2,3,2,3,3,3,2,2
59,Brazil ,1,30,4,0,0,5,1,None,1,-2,2,2,2,1,2,2,2,0,2,2,1,3,2,3,2,3,3,3,2,2
60,Brazil ,2,32,14,0,0,5,2,None,1,0,2,2,0,2,0,1,1,0,1,0,0,0,0,3,2,2,3,3,2,2
61,Brazil ,1,39,1,1,1,5,0,None,2,-1,2,1,2,2,2,2,2,1,2,0,0,-1,0,2,2,2,3,3,2,2
62,Brazil ,1,33,8,0,0,5,1,None,2,-2,2,1,1,2,2,2,2,2,2,2,3,3,2,2,1,2,3,3,2,2
63,Brazil ,2,26,3,1,1,5,1,None,3,0,2,2,2,2,2,2,2,2,2,1,2,1,1,3,1,2,2,3,2,2
64,Brazil ,1,27,2,0,0,5,1,None,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,-1,2,3,2,2
65,Brazil ,2,31,1,0,0,5,1,None,2,0,2,2,2,2,2,2,2,1,2,3,3,3,2,2,2,1,2,2,2,2
66,Brazil ,1,23,7,2,2,5,1,None,1,1,1,1,0,1,0,-1,-1,0,2,-1,-1,-1,3,3,1,1,1,1,2,2
67,Brazil ,1,40,20,3,3,4,1,None,1,-3,2,2,1,2,2,2,2,1,2,3,2,3,0,2,2,3,3,3,1,2
68,Brazil ,2,26,6,0,0,5,1,None,1,-3,1,1,1,1,1,1,1,1,2,2,2,2,1,2,0,2,3,3,1,2
69,Brazil ,1,30,6,0,0,5,1,None,3,2,2,1,1,2,1,2,1,1,1,2,2,1,3,2,-2,-2,0,1,1,2
70,Brazil ,1,31,2,2,3,5,1,None,5,3,2,1,2,2,2,2,2,1,2,1,0,0,3,3,2,2,3,3,0,2
71,Brazil ,1,29,2,0,0,5,1,None,3,2,2,2,2,2,2,2,1,1,2,1,3,1,2,3,1,2,3,3,0,2
72,Brazil ,1,32,10,0,0,5,1,None,4,-3,2,2,2,2,2,2,2,1,2,3,3,3,0,3,1,2,3,3,-1,2
73,Brazil ,1,37,12,1,1,5,1,None,4,-3,2,2,2,2,2,2,2,2,2,2,2,3,-1,2,1,1,3,3,-1,2
74,Brazil ,1,29,1,0,0,5,1,None,1,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,-1,2,2,3,-1,2
75,Brazil ,1,25,7,0,0,5,1,None,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,3,-2,-1,3,3,-3,2
76,Brazil ,1,37,9,1,1,5,1,None,1,3,1,1,1,1,0,2,2,0,1,0,0,-1,3,3,-2,2,0,3,-3,2
77,Brazil ,1,33,9,1,1,5,1,None,3,3,2,2,0,2,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,1
78,Brazil ,2,35,1,0,0,5,0,None,5,-1,2,2,2,2,2,2,2,2,2,3,3,3,-1,1,-1,-1,3,3,2,1
79,Brazil ,1,30,6,1,1,5,2,None,4,-2,1,-2,1,0,2,-1,-1,-1,1,-3,-3,-3,2,2,-1,1,1,1,2,1
80,Brazil ,2,33,7,2,2,5,1,None,2,-2,2,2,2,2,2,2,1,2,2,2,2,2,1,3,1,1,2,3,1,1
81,Brazil ,2,27,6,1,1,5,0,None,2,-3,2,1,2,2,2,2,2,2,2,1,0,2,2,3,2,1,0,2,1,1
82,Brazil ,1,42,4,3,0,4,0,None,1,-2,2,1,2,2,2,1,2,2,2,3,3,3,0,1,1,0,0,1,1,1
83,Brazil ,1,32,2,0,0,5,1,None,4,-1,2,0,2,2,2,2,2,2,2,3,3,3,1,3,-1,-3,0,0,1,1
84,Brazil ,1,31,4,0,0,5,0,None,2,-2,2,1,2,2,2,2,2,0,2,2,2,2,1,1,0,2,3,3,0,1
85,Brazil ,1,32,14,1,0,5,1,None,5,-2,2,1,2,2,2,1,1,0,2,2,2,2,-2,2,0,1,0,0,0,1
86,Brazil ,2,26,1,0,0,5,0,None,1,2,1,0,0,2,1,1,1,1,1,0,1,0,1,3,2,-1,1,2,-1,1
87,Brazil ,1,31,13,0,0,5,0,None,5,-2,2,2,2,2,2,2,1,1,2,2,1,1,2,3,1,1,3,3,-2,1
88,Brazil ,1,30,8,0,0,5,2,None,1,-3,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,3,-3,1
89,Brazil ,2,32,2,0,2,5,2,None,4,1,2,2,2,2,2,2,2,2,2,3,3,3,-3,2,1,3,1,3,3,0
90,Brazil ,2,38,4,1,1,5,1,None,2,-3,1,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,0,3,2,0
91,Brazil ,1,20,7,0,0,4,0,None,5,0,2,1,1,2,2,2,1,1,2,1,1,1,3,3,1,2,3,3,1,0
92,Brazil ,1,31,3,0,0,4,0,None,5,0,1,0,2,1,2,2,2,-1,1,1,1,0,2,2,2,2,3,3,0,0
93,Brazil ,1,24,2,0,0,5,0,None,1,-3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,0,0
94,Brazil ,1,28,1,0,0,5,0,None,3,-1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,0,2,3,3,0,0
